val_loss,val_acc,loss,acc
0.21230688778896353,0.9240282685512368,0.31636885012844607,0.8722402119517221
0.1598760699820392,0.950530035335689,0.1844774935386849,0.934206652929055
0.180898397072746,0.9363957597173145,0.16775032082199173,0.9430379747010905
0.1359027937949757,0.9575971731448764,0.14563027124063457,0.9518692964380335
0.15865960790917225,0.9458186101295641,0.12831154584551266,0.9586399764673549
0.20219473342013022,0.9204946996466431,0.12207389824928029,0.9601118633737977
0.2828019232926857,0.9028268551236749,0.129170323061064,0.9570209007948189
0.1875582519738778,0.9316843345111896,0.11608442402707152,0.9617309390287874
0.13535081306461452,0.9540636042402827,0.12178571096739069,0.9584927877539005
0.204584584974007,0.9246171967020024,0.11094607627098793,0.9661465999586708
