val_loss,val_acc,loss,acc
0.4189025090636578,0.8156654888103652,0.5038646709262745,0.7534589343362954
0.3404877029964865,0.8445229681978799,0.40204589529040285,0.8188107153019696
0.3277424933000504,0.85924617196702,0.36301323086295295,0.8425080953958212
0.31612423834587294,0.8610129564193169,0.35087484779307376,0.8473653223520171
0.319643030265616,0.8645465253239105,0.33973821364222534,0.853988813659111
0.3295964095631814,0.8627797408716137,0.326563208496918,0.8584044745188093
0.30523487698238505,0.8733804475853946,0.3197637412051155,0.8639976449457729
0.3170175380276426,0.8698468786808009,0.30789928858091387,0.8648807771738607
0.30960738221874506,0.8657243816254417,0.29899488151301556,0.8737120989283499
0.3206453370051053,0.8598351001177856,0.295101560566718,0.8781277597880482
