val_loss,val_acc,loss,acc
0.2974157942408527,0.8751472320376914,0.2874150925307966,0.8891669119987061
0.16921836123730466,0.9493521790341578,0.18330967153455707,0.9396526346776568
0.17458010803210441,0.9493521790341578,0.16423582317006563,0.9440682955549013
0.14241521304431595,0.9634864546525324,0.14870391446578352,0.9503974094438595
0.13479085682558928,0.9611307420494699,0.13987523657734477,0.954665881625196
0.11633167647536147,0.9676089517078916,0.13459763719245446,0.9524580512216662
0.1720108205739966,0.947585394581861,0.1228465437233856,0.9580512216661761
0.141868719679728,0.958186101295642,0.1288384870155299,0.9580512216310835
0.11069042336533572,0.9705535924617197,0.11932108202312566,0.9587871651106243
0.15036675586717288,0.9534746760895171,0.11732845816817183,0.9623196938475125
