val_loss,val_acc,loss,acc
0.3481571893302762,0.8477237043051368,0.4233992010825689,0.8114436131892491
0.2807505718860746,0.8673469382140849,0.3147144461642609,0.8706012746078151
0.25650621145916885,0.8893249608471031,0.27004451743781516,0.8876420060628403
0.3011341032746074,0.8704866562945128,0.2404469003981915,0.8987254086344089
0.24691816586620954,0.89952904182476,0.2289514455290903,0.9052369077471889
0.2903153437366665,0.8728414438957323,0.2114507699894687,0.9131338321194816
0.23919096972729012,0.9010989005374759,0.201569536948062,0.9188140758552457
0.22744722507625023,0.9065934066869774,0.19486125387885161,0.9204765863285134
0.25924928774077627,0.8854003140653134,0.190319499544372,0.9208922138601235
0.28188874772523226,0.8971742544106823,0.1835857971400295,0.9235245219622005
