val_loss,val_acc,loss,acc
0.15781655410925546,0.9356666666136848,0.2072334493328543,0.9148431372829512
0.1258404136167632,0.951222222328186,0.11659073246460334,0.955117647077523
0.11237792293230693,0.9565555556615194,0.08026313053392896,0.969431372567719
0.09458363595646288,0.9651111111111111,0.058493800246248055,0.9780980392343858
0.08261157399415969,0.9730000001059638,0.04592366324620796,0.9830588235294118
0.10828147204054726,0.9643333334392972,0.03553087333955017,0.986941176442539
0.07798928255670601,0.9745555555555555,0.029706115417620714,0.9896862745191537
0.07897030826161305,0.9775555555555555,0.025236377619060814,0.9909607843230752
0.08571297989785671,0.9727777777777777,0.021164297664647592,0.9926274509803922
0.0825730844301482,0.9763333333333334,0.01851553106315288,0.9933725490196078
